station_name,river_name,state,district,month,predicted_compliance_label,predicted_non_compliance_probability,risk_score,risk_category,violation_reasons,label_confidence,top_5_model_drivers,rule_based_explanation,final_human_readable_explanation
"Mithi river near Road bridge, Village. Mahim, Taluka. Bandra, District. Mumbai.",Mithi,,Mumbai,Aug,Non-Compliant,1.0,67.39,High Risk,DO (0.3 < 5); BOD (38.0 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 0.30 mg/L (below 5); BOD is 38.00 mg/L (above 3). Risk category: High Risk.,"Station Mithi river near Road bridge, Village. Mahim, Taluka. Bandra, District. Mumbai. is predicted Non-Compliant. Non-compliant because DO is 0.30 mg/L (below 5); BOD is 38.00 mg/L (above 3). Risk category: High Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
"BPT, Navapur, Village. Navapur, Taluka. Palghar, District. Thane.",BPT/Navapur,,Thane,Aug,Non-Compliant,1.0,77.6,Severe Risk,DO (0.3 < 5); BOD (54.0 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 0.30 mg/L (below 5); BOD is 54.00 mg/L (above 3). Risk category: Severe Risk.,"Station BPT, Navapur, Village. Navapur, Taluka. Palghar, District. Thane. is predicted Non-Compliant. Non-compliant because DO is 0.30 mg/L (below 5); BOD is 54.00 mg/L (above 3). Risk category: Severe Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
"Tarapur MIDC Nalla ( Near Sump 2), Village. MIDC  Tarapur, Taluka. Palghar, District. Thane.",Tarapur Midc,,Thane,Aug,Non-Compliant,1.0,77.6,Severe Risk,DO (0.3 < 5); BOD (110.0 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 0.30 mg/L (below 5); BOD is 110.00 mg/L (above 3). Risk category: Severe Risk.,"Station Tarapur MIDC Nalla ( Near Sump 2), Village. MIDC  Tarapur, Taluka. Palghar, District. Thane. is predicted Non-Compliant. Non-compliant because DO is 0.30 mg/L (below 5); BOD is 110.00 mg/L (above 3). Risk category: Severe Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
"Tarapur MIDC Nalla ( Near Sump 3), Village. MIDC  Tarapur, Taluka. Palghar, District. Thane.",Tarapur Midc,,Thane,Aug,Non-Compliant,1.0,77.6,Severe Risk,DO (0.3 < 5); BOD (210.0 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 0.30 mg/L (below 5); BOD is 210.00 mg/L (above 3). Risk category: Severe Risk.,"Station Tarapur MIDC Nalla ( Near Sump 3), Village. MIDC  Tarapur, Taluka. Palghar, District. Thane. is predicted Non-Compliant. Non-compliant because DO is 0.30 mg/L (below 5); BOD is 210.00 mg/L (above 3). Risk category: Severe Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
"Tarapur MIDC Nalla ( near Sump 1), Village. MIDC Tarapur, Taluka. Palghar, District. Thane.",Tarapur Midc,,Thane,Aug,Non-Compliant,1.0,77.6,Severe Risk,DO (0.3 < 5); BOD (58.0 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 0.30 mg/L (below 5); BOD is 58.00 mg/L (above 3). Risk category: Severe Risk.,"Station Tarapur MIDC Nalla ( near Sump 1), Village. MIDC Tarapur, Taluka. Palghar, District. Thane. is predicted Non-Compliant. Non-compliant because DO is 0.30 mg/L (below 5); BOD is 58.00 mg/L (above 3). Risk category: Severe Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
"Colour chem  Nalla, Village. Majiwada,Taluka. Thane,District. Thane.",Colour Chem,,Thane,Aug,Non-Compliant,1.0,54.98,High Risk,DO (1.0 < 5); BOD (30.0 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 1.00 mg/L (below 5); BOD is 30.00 mg/L (above 3). Risk category: High Risk.,"Station Colour chem  Nalla, Village. Majiwada,Taluka. Thane,District. Thane. is predicted Non-Compliant. Non-compliant because DO is 1.00 mg/L (below 5); BOD is 30.00 mg/L (above 3). Risk category: High Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
"Sandoz nalla, Village. Sandozbaug,Taluka. Thane,District. Thane.",Sandoz,,Thane,Aug,Non-Compliant,1.0,60.03,High Risk,DO (0.9 < 5); BOD (35.0 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 0.90 mg/L (below 5); BOD is 35.00 mg/L (above 3). Risk category: High Risk.,"Station Sandoz nalla, Village. Sandozbaug,Taluka. Thane,District. Thane. is predicted Non-Compliant. Non-compliant because DO is 0.90 mg/L (below 5); BOD is 35.00 mg/L (above 3). Risk category: High Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
"Rabodi nalla, Village. Rabodi,Taluka. Thane, District. Thane.",Rabodi,,Thane,Aug,Non-Compliant,1.0,72.49,High Risk,DO (0.3 < 5); BOD (44.0 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 0.30 mg/L (below 5); BOD is 44.00 mg/L (above 3). Risk category: High Risk.,"Station Rabodi nalla, Village. Rabodi,Taluka. Thane, District. Thane. is predicted Non-Compliant. Non-compliant because DO is 0.30 mg/L (below 5); BOD is 44.00 mg/L (above 3). Risk category: High Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
"Pilli river  near, vill-mankapur on koradi road, Dist- Nagpur",Pilli,,Nagpur,Aug,Non-Compliant,1.0,34.18,Moderate Risk,DO (1.6 < 5); BOD (11.2 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 1.60 mg/L (below 5); BOD is 11.20 mg/L (above 3). Risk category: Moderate Risk.,"Station Pilli river  near, vill-mankapur on koradi road, Dist- Nagpur is predicted Non-Compliant. Non-compliant because DO is 1.60 mg/L (below 5); BOD is 11.20 mg/L (above 3). Risk category: Moderate Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
Nag river  near bhandewadi bridge Dist- Nagpur,Nag,,Nagpur,Aug,Non-Compliant,1.0,62.79,High Risk,DO (0.3 < 5); BOD (32.6 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 0.30 mg/L (below 5); BOD is 32.60 mg/L (above 3). Risk category: High Risk.,"Station Nag river  near bhandewadi bridge Dist- Nagpur is predicted Non-Compliant. Non-compliant because DO is 0.30 mg/L (below 5); BOD is 32.60 mg/L (above 3). Risk category: High Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
"Nag river  near asoli road bridge, bhandara road, Dist- Nagpur",Nag,,Nagpur,Aug,Non-Compliant,1.0,56.15,High Risk,DO (0.3 < 5); BOD (24.8 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 0.30 mg/L (below 5); BOD is 24.80 mg/L (above 3). Risk category: High Risk.,"Station Nag river  near asoli road bridge, bhandara road, Dist- Nagpur is predicted Non-Compliant. Non-compliant because DO is 0.30 mg/L (below 5); BOD is 24.80 mg/L (above 3). Risk category: High Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
"Pilli river  near wanjara layout, kamptee road, Dist-Nagpur",Pilli,,Nagpur,Aug,Non-Compliant,1.0,39.68,Moderate Risk,DO (1.2 < 5); BOD (13.9 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 1.20 mg/L (below 5); BOD is 13.90 mg/L (above 3). Risk category: Moderate Risk.,"Station Pilli river  near wanjara layout, kamptee road, Dist-Nagpur is predicted Non-Compliant. Non-compliant because DO is 1.20 mg/L (below 5); BOD is 13.90 mg/L (above 3). Risk category: Moderate Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
"Chikhali nallah meets Godavari river, Village. Chikhali, Taluka. Nashik, District. Nashik.",Chikhali Nallah Meets Godavari,,Nashik,Aug,Non-Compliant,1.0,20.94,Low Risk,DO (3.0 < 5); BOD (8.8 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 3.00 mg/L (below 5); BOD is 8.80 mg/L (above 3). Risk category: Low Risk.,"Station Chikhali nallah meets Godavari river, Village. Chikhali, Taluka. Nashik, District. Nashik. is predicted Non-Compliant. Non-compliant because DO is 3.00 mg/L (below 5); BOD is 8.80 mg/L (above 3). Risk category: Low Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
"Bhima river at Pune (Mutha river) at U/s of Vithalwadi near Shankar Mandir, Village. Vithalwadi, Taluka. Haweli, District. Pune.",Bhima,,Pune,Aug,Non-Compliant,1.0,49.17,Moderate Risk,DO (1.3 < 5); BOD (26.0 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 1.30 mg/L (below 5); BOD is 26.00 mg/L (above 3). Risk category: Moderate Risk.,"Station Bhima river at Pune (Mutha river) at U/s of Vithalwadi near Shankar Mandir, Village. Vithalwadi, Taluka. Haweli, District. Pune. is predicted Non-Compliant. Non-compliant because DO is 1.30 mg/L (below 5); BOD is 26.00 mg/L (above 3). Risk category: Moderate Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
"Lonar surovar lake, near kamalja devi temple. Tal- lonar Dist- Buldhana",Lonar Surovar,,Akola,Aug,Non-Compliant,1.0,28.19,Moderate Risk,BOD (31.0 > 3); pH (9.7 not in 6.5-8.5),High,"['bod', 'ph', 'dissolved_oxygen', 'temperature', 'conductivity']",Non-compliant because BOD is 31.00 mg/L (above 3); pH is 9.70 (outside 6.5-8.5). Risk category: Moderate Risk.,"Station Lonar surovar lake, near kamalja devi temple. Tal- lonar Dist- Buldhana is predicted Non-Compliant. Non-compliant because BOD is 31.00 mg/L (above 3); pH is 9.70 (outside 6.5-8.5). Risk category: Moderate Risk. Top model drivers: bod, ph, dissolved_oxygen, temperature, conductivity."
"Mutha river at Deccan bridge, Village. Deccan,Taluka. Pune, District. Pune.",Mutha,,Pune,Aug,Non-Compliant,1.0,44.48,Moderate Risk,DO (2.1 < 5); BOD (28.0 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 2.10 mg/L (below 5); BOD is 28.00 mg/L (above 3). Risk category: Moderate Risk.,"Station Mutha river at Deccan bridge, Village. Deccan,Taluka. Pune, District. Pune. is predicted Non-Compliant. Non-compliant because DO is 2.10 mg/L (below 5); BOD is 28.00 mg/L (above 3). Risk category: Moderate Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
"Mutha river near Veer Savarkar Bhavan, Village. Pune  M.C, Taluka. Pune, District .Pune.",Mutha,,Pune,Aug,Non-Compliant,1.0,43.68,Moderate Risk,DO (2.2 < 5); BOD (28.0 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 2.20 mg/L (below 5); BOD is 28.00 mg/L (above 3). Risk category: Moderate Risk.,"Station Mutha river near Veer Savarkar Bhavan, Village. Pune  M.C, Taluka. Pune, District .Pune. is predicted Non-Compliant. Non-compliant because DO is 2.20 mg/L (below 5); BOD is 28.00 mg/L (above 3). Risk category: Moderate Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
"Indrayani river at D/s of Alandigaon, Village. Alandigaon, Taluka. Haweli, District. Pune.",Indrayani,,Pune,Aug,Non-Compliant,1.0,2.72,Low Risk,BOD (6.2 > 3),High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Non-compliant because BOD is 6.20 mg/L (above 3). Risk category: Low Risk.,"Station Indrayani river at D/s of Alandigaon, Village. Alandigaon, Taluka. Haweli, District. Pune. is predicted Non-Compliant. Non-compliant because BOD is 6.20 mg/L (above 3). Risk category: Low Risk. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Mutha river at Sangam bridge near Ganapathyghat, Village . Shivaji Nagar,  Taluka. Pune, District. Pune.",Mutha,,Pune,Aug,Non-Compliant,1.0,41.23,Moderate Risk,DO (2.4 < 5); BOD (27.0 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 2.40 mg/L (below 5); BOD is 27.00 mg/L (above 3). Risk category: Moderate Risk.,"Station Mutha river at Sangam bridge near Ganapathyghat, Village . Shivaji Nagar,  Taluka. Pune, District. Pune. is predicted Non-Compliant. Non-compliant because DO is 2.40 mg/L (below 5); BOD is 27.00 mg/L (above 3). Risk category: Moderate Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
"Thane creek at Kalwa road bridge, Village. Kalwa,Taluka. Thane,District. Thane.",Thane,,Thane,Aug,Non-Compliant,1.0,4.6,Low Risk,BOD (8.4 > 3),High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Non-compliant because BOD is 8.40 mg/L (above 3). Risk category: Low Risk.,"Station Thane creek at Kalwa road bridge, Village. Kalwa,Taluka. Thane,District. Thane. is predicted Non-Compliant. Non-compliant because BOD is 8.40 mg/L (above 3). Risk category: Low Risk. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
