live_alert_id,timestamp,station_name,alert_type,severity,parameter,value,reason,recommended_action
01f9ff98-4900-44bd-867c-89e878a3fe9b,2026-05-12 08:30:00+00:00,"WB89_Durgapur barrage, Road Bridge",Normal Status,Normal,All,OK,All parameters within safe limits.,Continue monitoring.
fbcc17a5-f4fc-423d-97a6-e846bede005f,2026-05-12 08:30:00+00:00,WB90_Damodar river Intake well pump house Ramgarh,Normal Status,Normal,All,OK,All parameters within safe limits.,Continue monitoring.
35bccca4-f63a-49e8-b549-b3c6c38bf7fd,2026-05-12 08:30:00+00:00,"UK51_Abandoned old  bridge, Rudraprayag ",Live BOD Alert,Severe,bod,8.66,"BOD is 8.66, above required maximum of 3 mg/L.",Escalate for field verification.
5dd98423-45ec-491a-837f-a756d75f5a3d,2026-05-12 08:30:00+00:00,"UK51_Abandoned old  bridge, Rudraprayag ",Live ML Non-Compliance Alert,High,ML Model,1.00,Machine learning model predicts non-compliance based on available features.,Repeat sampling to confirm compliance.
ea10cccc-2b2e-4854-ade2-660732295344,2026-05-12 06:30:00+00:00,UK53_D/s of Tehri Dam,Normal Status,Normal,All,OK,All parameters within safe limits.,Continue monitoring.
2e4b0ff6-ca58-44ca-b129-02a63a10cad1,2026-05-12 08:30:00+00:00,"UK54_Distributing Canal, Left Bank, Rishikesh",Normal Status,Normal,All,OK,All parameters within safe limits.,Continue monitoring.
5ed1d404-fc06-40a0-9e4a-d36ed99866eb,2026-05-12 08:30:00+00:00,"UK55_D/s of Har Ki Pauri, Dam Kothi, Haridwar",Normal Status,Normal,All,OK,All parameters within safe limits.,Continue monitoring.
af5d02c7-abb1-4c6a-8708-2803d37bfb99,2026-05-12 08:30:00+00:00,"HR56_D/s of Mohana, Sonipat",Live BOD Alert,High,bod,3.26,"BOD is 3.26, above required maximum of 3 mg/L.",Escalate for field verification.
257ba6a9-f37f-447e-9454-5c33f5d57f90,2026-05-12 08:30:00+00:00,"HR56_D/s of Mohana, Sonipat",Live ML Non-Compliance Alert,High,ML Model,1.00,Machine learning model predicts non-compliance based on available features.,Repeat sampling to confirm compliance.
2e257530-f7c2-4533-b492-a52d8e48eb3c,2026-05-12 08:30:00+00:00,"UT57_Bridge on Hindon river, Rajnagar Ext.Gzb",Live DO Alert,Severe,dissolved_oxygen,1.48,"DO is 1.48, below required minimum of 5 mg/L.",Escalate for field verification.
c1437ff4-a5c1-40cc-b3b2-953e470c63bc,2026-05-12 08:30:00+00:00,"UT57_Bridge on Hindon river, Rajnagar Ext.Gzb",Live BOD Alert,High,bod,5.23,"BOD is 5.23, above required maximum of 3 mg/L.",Escalate for field verification.
28ad9f75-86d9-4613-a4bf-c33b0a9e35d8,2026-05-12 08:30:00+00:00,"UT57_Bridge on Hindon river, Rajnagar Ext.Gzb",Live ML Non-Compliance Alert,High,ML Model,1.00,Machine learning model predicts non-compliance based on available features.,Repeat sampling to confirm compliance.
69043027-5bbc-48b2-9637-e1828d7563be,2026-05-12 08:30:00+00:00,"UT58_River Kali East, D/s Meerut city, Kaul vill.",Live pH Alkaline Alert,Warning,ph,8.53,"pH is 8.53, above safe maximum of 8.5.",Inspect nearby discharge source.
5a6ede1c-b4dd-46b2-b38e-fb7730e6462b,2026-05-12 08:30:00+00:00,"UT58_River Kali East, D/s Meerut city, Kaul vill.",Live BOD Alert,High,bod,4.2,"BOD is 4.2, above required maximum of 3 mg/L.",Escalate for field verification.
fe8c8edb-94b8-4f32-ba6d-5873495687c3,2026-05-12 08:30:00+00:00,"UT58_River Kali East, D/s Meerut city, Kaul vill.",Live ML Non-Compliance Alert,High,ML Model,1.00,Machine learning model predicts non-compliance based on available features.,Repeat sampling to confirm compliance.
bc569d90-42d0-4190-a998-c78623a06004,2026-05-12 08:30:00+00:00,"UT59_River Kali East, D/s of Bulandshahr",Normal Status,Normal,All,OK,All parameters within safe limits.,Continue monitoring.
b21610db-71af-430b-9647-4095ae8f74e7,2026-05-12 08:30:00+00:00,"UT60_Upstream of Gokul Barrage,D/s of Mathura city",Live DO Alert,Severe,dissolved_oxygen,2.28,"DO is 2.28, below required minimum of 5 mg/L.",Escalate for field verification.
ad04d945-9f52-4cf5-862d-63258dd02900,2026-05-12 08:30:00+00:00,"UT60_Upstream of Gokul Barrage,D/s of Mathura city",Live BOD Alert,High,bod,5.1,"BOD is 5.1, above required maximum of 3 mg/L.",Escalate for field verification.
5a00fa52-ccec-4c77-a729-3e55910db3ff,2026-05-12 08:30:00+00:00,"UT60_Upstream of Gokul Barrage,D/s of Mathura city",Live ML Non-Compliance Alert,High,ML Model,1.00,Machine learning model predicts non-compliance based on available features.,Repeat sampling to confirm compliance.
4bed3962-14e9-4eb3-a4d3-7510b489fd96,2026-05-12 08:30:00+00:00,"UT61_Near Galhita on River Hindon,Barnawa,Baghpat",Normal Status,Normal,All,OK,All parameters within safe limits.,Continue monitoring.
8d6536e3-d94e-4ef2-8bf4-f939d440c085,2026-05-12 08:30:00+00:00,"UT63_River Yamuna, U/s to Sangam at Allahabad",Live BOD Alert,High,bod,4.99,"BOD is 4.99, above required maximum of 3 mg/L.",Escalate for field verification.
560163cb-a9b2-40bd-89e4-947b18b883e6,2026-05-12 08:30:00+00:00,"UT63_River Yamuna, U/s to Sangam at Allahabad",Live ML Non-Compliance Alert,High,ML Model,1.00,Machine learning model predicts non-compliance based on available features.,Repeat sampling to confirm compliance.
da8484b2-4048-4d10-bfbd-f4583cc2beeb,2026-05-12 08:30:00+00:00,"UT64_Fafamau, Lord Curzon Bridge, Allahabad",Normal Status,Normal,All,OK,All parameters within safe limits.,Continue monitoring.
f635fa59-5832-4ab2-8783-d01d9ab14452,2026-05-12 08:30:00+00:00,"UT65_Balu ghat bridge, Chunar",Live BOD Alert,High,bod,3.36,"BOD is 3.36, above required maximum of 3 mg/L.",Escalate for field verification.
ca2aff67-1953-40da-839c-d9e6ead1a6c4,2026-05-12 08:30:00+00:00,"UT65_Balu ghat bridge, Chunar",Live ML Non-Compliance Alert,High,ML Model,1.00,Machine learning model predicts non-compliance based on available features.,Repeat sampling to confirm compliance.
b676457a-06aa-45e9-94f4-e2e2c509019a,2026-05-12 08:30:00+00:00,"UT66_Ghazipur, Abdul Hameed Setu on River Ganga",Live BOD Alert,High,bod,3.11,"BOD is 3.11, above required maximum of 3 mg/L.",Escalate for field verification.
13c2a75c-27c1-4765-aac0-368b2fb49417,2026-05-12 08:30:00+00:00,"UT66_Ghazipur, Abdul Hameed Setu on River Ganga",Live ML Non-Compliance Alert,High,ML Model,1.00,Machine learning model predicts non-compliance based on available features.,Repeat sampling to confirm compliance.
69f1d695-1108-4db3-a1e5-9394f75866af,2026-05-12 08:30:00+00:00,"UT67_Kheerveer Bridge,Kishundaspur Road,Pratapgarh",Live BOD Alert,High,bod,4.65,"BOD is 4.65, above required maximum of 3 mg/L.",Escalate for field verification.
82f4e954-da3f-4e0a-96fd-5b20af36d8ee,2026-05-12 08:30:00+00:00,"UT67_Kheerveer Bridge,Kishundaspur Road,Pratapgarh",Live ML Non-Compliance Alert,High,ML Model,1.00,Machine learning model predicts non-compliance based on available features.,Repeat sampling to confirm compliance.
b803efa5-8c75-46bf-ab59-7a10f683769c,2026-05-12 08:30:00+00:00,"UT68_Korra Kanak, Asothar, Fatehpur.",Live pH Alkaline Alert,Warning,ph,8.54,"pH is 8.54, above safe maximum of 8.5.",Inspect nearby discharge source.
e377cef2-b292-4f0f-b899-7dc103bcce04,2026-05-12 08:30:00+00:00,"UT68_Korra Kanak, Asothar, Fatehpur.",Live BOD Alert,High,bod,5.13,"BOD is 5.13, above required maximum of 3 mg/L.",Escalate for field verification.
ed1a3b68-2ac7-4919-803a-f9ae88e734f2,2026-05-12 08:30:00+00:00,"UT68_Korra Kanak, Asothar, Fatehpur.",Live ML Non-Compliance Alert,High,ML Model,1.00,Machine learning model predicts non-compliance based on available features.,Repeat sampling to confirm compliance.
d17d5382-8db1-4880-ac69-f024b9f552fe,2026-05-12 08:30:00+00:00,"UT69_Marhapur, Auraiya",Normal Status,Normal,All,OK,All parameters within safe limits.,Continue monitoring.
389839c0-ed1b-4b52-94f8-2b7da547c380,2026-05-12 08:30:00+00:00,"UT70_Mawai Dham, Amauli, Fatehpur",Live BOD Alert,High,bod,3.28,"BOD is 3.28, above required maximum of 3 mg/L.",Escalate for field verification.
d12e19d8-fb2a-485e-8184-1f430d2cf310,2026-05-12 08:30:00+00:00,"UT70_Mawai Dham, Amauli, Fatehpur",Live ML Non-Compliance Alert,High,ML Model,1.00,Machine learning model predicts non-compliance based on available features.,Repeat sampling to confirm compliance.
b0e8e7fc-975f-4a54-b1d6-baad89b5194c,2026-05-12 08:30:00+00:00,UT71_Beladandi Bridge on River Ramganga,Live BOD Alert,Severe,bod,6.12,"BOD is 6.12, above required maximum of 3 mg/L.",Escalate for field verification.
8b7ec36f-fd57-45a4-aeba-143c5041c2cf,2026-05-12 08:30:00+00:00,UT71_Beladandi Bridge on River Ramganga,Live ML Non-Compliance Alert,High,ML Model,1.00,Machine learning model predicts non-compliance based on available features.,Repeat sampling to confirm compliance.
3f78b978-940d-404e-b14f-beafcadb7542,2026-05-12 08:30:00+00:00,"BH73_Bridge on Ghagra near Manjhi, Chappra",Normal Status,Normal,All,OK,All parameters within safe limits.,Continue monitoring.
d37cd208-6773-42fc-8d93-8925bd42f5a6,2026-05-12 08:30:00+00:00,"BH74_Road bridge on River Ganga, D/s of Buxar",Live pH Alkaline Alert,Warning,ph,8.51,"pH is 8.51, above safe maximum of 8.5.",Inspect nearby discharge source.
3ac9e583-9a2e-41dd-b061-9f2cc9c44ddd,2026-05-12 08:30:00+00:00,"BH76_Road bridge at Fathua on Punpun, Patna",Live DO Alert,Severe,dissolved_oxygen,0.2,"DO is 0.2, below required minimum of 5 mg/L.",Escalate for field verification.
ae774c9d-381b-4be4-a38e-770361e3eae4,2026-05-12 08:30:00+00:00,"BH76_Road bridge at Fathua on Punpun, Patna",Live BOD Alert,Severe,bod,11.95,"BOD is 11.95, above required maximum of 3 mg/L.",Escalate for field verification.
088334ea-ac4e-4119-bdd2-0d22cf0e117b,2026-05-12 08:30:00+00:00,"BH76_Road bridge at Fathua on Punpun, Patna",Live ML Non-Compliance Alert,High,ML Model,1.00,Machine learning model predicts non-compliance based on available features.,Repeat sampling to confirm compliance.
17cda62b-c726-4e79-a37a-0602dd06d421,2026-05-12 08:30:00+00:00,"BH77_New Bridge, U/s of Patna city, Khurji",Live pH Alkaline Alert,Warning,ph,8.73,"pH is 8.73, above safe maximum of 8.5.",Inspect nearby discharge source.
5a8e867e-520c-49ce-9536-75309f922159,2026-05-12 08:30:00+00:00,"BH77_New Bridge, U/s of Patna city, Khurji",Live DO Alert,High,dissolved_oxygen,4.51,"DO is 4.51, below required minimum of 5 mg/L.",Escalate for field verification.
a89856c2-d4f6-4b81-9465-93118ead92e3,2026-05-12 08:30:00+00:00,"BH77_New Bridge, U/s of Patna city, Khurji",Live ML Non-Compliance Alert,High,ML Model,1.00,Machine learning model predicts non-compliance based on available features.,Repeat sampling to confirm compliance.
12bd61ef-0906-43d1-94e6-86e1db7449bb,2026-05-12 08:30:00+00:00,"BH78_Road bridge on Burhi Gandak, Khagaria",Live BOD Alert,High,bod,4.22,"BOD is 4.22, above required maximum of 3 mg/L.",Escalate for field verification.
2fa35a94-2df7-47ff-9d7b-8d192355f673,2026-05-12 08:30:00+00:00,"BH78_Road bridge on Burhi Gandak, Khagaria",Live ML Non-Compliance Alert,High,ML Model,1.00,Machine learning model predicts non-compliance based on available features.,Repeat sampling to confirm compliance.
aa6d10f5-d353-4275-9304-b9760b5a48c7,2026-05-12 08:30:00+00:00,"BH79_Road bridge on Kosi, Kursela",Normal Status,Normal,All,OK,All parameters within safe limits.,Continue monitoring.
b1375f5a-0fb1-41f9-8aac-560b31333859,2026-05-12 08:30:00+00:00,"BH80_Road bridge on Son, Arrah",Normal Status,Normal,All,OK,All parameters within safe limits.,Continue monitoring.
c9ea2508-66f1-4b85-b074-545e81a2e917,2026-05-12 08:30:00+00:00,"BH81_Road Bridge on Gandak, Hajipur",Normal Status,Normal,All,OK,All parameters within safe limits.,Continue monitoring.
0652991f-ed29-4a92-a38a-5cc386711c07,2026-05-12 08:30:00+00:00,"JH82_Birsa Pool, Damodar River Bank,Pathardih",Normal Status,Normal,All,OK,All parameters within safe limits.,Continue monitoring.
8ccb4c02-670a-4e84-a1c4-9ee4bf3a45fe,2026-05-12 08:30:00+00:00,JH83_Sahebganj,Normal Status,Normal,All,OK,All parameters within safe limits.,Continue monitoring.
5df8fa1b-a6f5-4036-97a6-1b18cbf72946,2026-05-12 08:30:00+00:00,WB85_Raghunathpur Thermal power plant Intake well.,Live pH Alkaline Alert,Warning,ph,8.78,"pH is 8.78, above safe maximum of 8.5.",Inspect nearby discharge source.
f6b6a1b4-9688-4a43-89cf-338a635d7c4f,2026-05-12 08:30:00+00:00,"WB86_Farakka Barrage, Road Bridge",Normal Status,Normal,All,OK,All parameters within safe limits.,Continue monitoring.
ae3be220-80d3-454b-bc4a-8694223efe74,2026-05-12 08:30:00+00:00,WB87_Nabadwip Bathing Ghat,Normal Status,Normal,All,OK,All parameters within safe limits.,Continue monitoring.
cd8524ef-dc8e-489d-95a0-b8014881fe17,2026-05-12 08:30:00+00:00,"WB88_Chinsura , Near Hooghly, Road Bridge",Normal Status,Normal,All,OK,All parameters within safe limits.,Continue monitoring.
ee730906-dbb7-4f51-bc72-ca0707cb1133,2026-05-12 08:30:00+00:00,"UT62_River Kosi, D/s of Kashipur, Darhiyal",Normal Status,Normal,All,OK,All parameters within safe limits.,Continue monitoring.
975c48d3-eecf-4fa7-b055-444034941828,2026-05-12 08:30:00+00:00,"BH72_River Ganga at Chausa, U/s of Buxar ",Normal Status,Normal,All,OK,All parameters within safe limits.,Continue monitoring.
bc5808a4-765d-46c6-8bc0-217d29eb418b,2026-05-12 08:30:00+00:00,JH84_Rajmahal at Malgodam,Normal Status,Normal,All,OK,All parameters within safe limits.,Continue monitoring.
6eaf714d-679a-4e2a-b330-bb432920f42d,2026-05-12 08:30:00+00:00,"UK52_D/s of Srinagar, Kirtinagar",Normal Status,Normal,All,OK,All parameters within safe limits.,Continue monitoring.
4d1f1f58-9e77-44fd-9519-d7b10403ae76,2026-05-12 08:30:00+00:00,"BH75_D/s of Bhagalpur, Road Bridge on River Ganga",Normal Status,Normal,All,OK,All parameters within safe limits.,Continue monitoring.
