station_id,station_no,station_name,state,latitude,longitude,site_no,latest_timestamp,bod,cl,cod,conductivity,depth,dissolved_oxygen,nitrate,ph,s,toc,wt,wtb,temperature,fecal_coliform,total_coliform,fecal_streptococci,turbidity,total_dissolved_solids,season,station_position_tag,pollution_context_tag,river_name,available_live_parameters,missing_model_features,core_parameter_count,available_core_parameters,missing_core_parameters,live_data_confidence,live_available_compliance_label,live_strict_compliance_label,live_violation_reasons,live_violation_count,live_rule_confidence,live_compliance_scope,live_ml_predicted_non_compliant,live_ml_predicted_compliance_label,live_ml_non_compliance_probability,model_input_missing_feature_count,model_input_missing_feature_list,model_input_available_feature_count,ml_prediction_confidence_note,live_ml_prediction_status,live_ml_fallback_used,live_ml_fallback_reason,live_rule_explanation,live_model_explanation,live_xai_top_drivers,live_missing_data_explanation,live_final_explanation
11783,WB89,"WB89_Durgapur barrage, Road Bridge",West Bengal,23.4801,87.3049,DSP_SWAN,2026-05-12 08:30:00+00:00,2.52,40.4,11.35,404.3,2.08,7.4,0.3,8.47,67.73,5.04,29.53,1.71,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,,Full,Compliant,Compliant,,0,High,Full DO/BOD/pH compliance,0,Compliant,0.0,7,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids|river_name,7,"High confidence: DO, BOD, and pH are available.",Success,False,,"pH is 8.47, within the safe range 6.5–8.5. DO is 7.4 mg/L, meeting the >=5 mg/L requirement. BOD is 2.52 mg/L, meeting the <=3 mg/L requirement.","The ML model predicts this station is Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.","bod, dissolved_oxygen, ph, temperature, conductivity",No major missing core parameters for this station.,"Station WB89_Durgapur barrage, Road Bridge is classified Compliant by rule and ML. nan. The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
11784,WB90,WB90_Damodar river Intake well pump house Ramgarh,West Bengal,23.645699,85.527719,DSP_SWAN,2026-05-12 08:30:00+00:00,1.41,48.25,6.34,512.56,0.95,7.81,0.3,8.29,308.55,2.82,30.66,4.12,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,,Full,Compliant,Compliant,,0,High,Full DO/BOD/pH compliance,0,Compliant,0.0,7,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids|river_name,7,"High confidence: DO, BOD, and pH are available.",Success,False,,"pH is 8.29, within the safe range 6.5–8.5. DO is 7.81 mg/L, meeting the >=5 mg/L requirement. BOD is 1.41 mg/L, meeting the <=3 mg/L requirement.","The ML model predicts this station is Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.","bod, dissolved_oxygen, ph, temperature, conductivity",No major missing core parameters for this station.,"Station WB90_Damodar river Intake well pump house Ramgarh is classified Compliant by rule and ML. nan. The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
11785,UK51,"UK51_Abandoned old  bridge, Rudraprayag ",Uttarakhand,30.274,78.9607,DSP_SWAN,2026-05-12 08:30:00+00:00,8.66,5.0,34.67,156.8,1.41,9.23,0.3,8.03,602.54,17.33,19.47,67.79,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,,Full,Non-Compliant,Non-Compliant,BOD is 8.66 (> 3 mg/L),1,High,Full DO/BOD/pH compliance,1,Non-Compliant,1.0,7,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids|river_name,7,"High confidence: DO, BOD, and pH are available.",Success,False,,"pH is 8.03, within the safe range 6.5–8.5. DO is 9.23 mg/L, meeting the >=5 mg/L requirement. BOD is 8.66 mg/L, violating the <=3 mg/L requirement.","The ML model predicts this station is Non-Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.","bod, dissolved_oxygen, ph, temperature, conductivity",No major missing core parameters for this station.,"Station UK51_Abandoned old  bridge, Rudraprayag  is classified Non-Compliant by rule and ML. BOD is 8.66 (> 3 mg/L). The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
11786,UK53,UK53_D/s of Tehri Dam,Uttarakhand,30.367,78.4794,DSP_SWAN,2026-05-12 06:30:00+00:00,0.5,5.0,5.0,181.7,1.42,8.65,0.3,8.1,641.43,1.0,18.62,12.06,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,,Full,Compliant,Compliant,,0,High,Full DO/BOD/pH compliance,0,Compliant,0.0,7,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids|river_name,7,"High confidence: DO, BOD, and pH are available.",Success,False,,"pH is 8.1, within the safe range 6.5–8.5. DO is 8.65 mg/L, meeting the >=5 mg/L requirement. BOD is 0.5 mg/L, meeting the <=3 mg/L requirement.","The ML model predicts this station is Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.","bod, dissolved_oxygen, ph, temperature, conductivity",No major missing core parameters for this station.,"Station UK53_D/s of Tehri Dam is classified Compliant by rule and ML. nan. The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
11787,UK54,"UK54_Distributing Canal, Left Bank, Rishikesh",Uttarakhand,30.07361,78.2903,DSP_SWAN,2026-05-12 08:30:00+00:00,0.5,,5.0,172.82,,9.52,0.3,8.08,,1.0,21.32,11.42,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,,Full,Compliant,Compliant,,0,High,Full DO/BOD/pH compliance,0,Compliant,0.0,7,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids|river_name,7,"High confidence: DO, BOD, and pH are available.",Success,False,,"pH is 8.08, within the safe range 6.5–8.5. DO is 9.52 mg/L, meeting the >=5 mg/L requirement. BOD is 0.5 mg/L, meeting the <=3 mg/L requirement.","The ML model predicts this station is Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.","bod, dissolved_oxygen, ph, temperature, conductivity",No major missing core parameters for this station.,"Station UK54_Distributing Canal, Left Bank, Rishikesh is classified Compliant by rule and ML. nan. The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
11788,UK55,"UK55_D/s of Har Ki Pauri, Dam Kothi, Haridwar",Uttarakhand,29.94153,78.15757,DSP_SWAN,2026-05-12 08:30:00+00:00,0.5,5.0,5.0,200.2,1.7,8.86,33.0,8.13,284.93,1.0,21.3,15.47,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,,Full,Compliant,Compliant,,0,High,Full DO/BOD/pH compliance,0,Compliant,0.0,7,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids|river_name,7,"High confidence: DO, BOD, and pH are available.",Success,False,,"pH is 8.13, within the safe range 6.5–8.5. DO is 8.86 mg/L, meeting the >=5 mg/L requirement. BOD is 0.5 mg/L, meeting the <=3 mg/L requirement.","The ML model predicts this station is Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.","bod, dissolved_oxygen, ph, temperature, conductivity",No major missing core parameters for this station.,"Station UK55_D/s of Har Ki Pauri, Dam Kothi, Haridwar is classified Compliant by rule and ML. nan. The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
11789,HR56,"HR56_D/s of Mohana, Sonipat",Haryana,28.989211,77.202686,DSP_SWAN,2026-05-12 08:30:00+00:00,3.26,49.49,15.86,549.8,0.85,8.2,3.93,7.75,207.12,7.77,26.49,52.92,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,,Full,Non-Compliant,Non-Compliant,BOD is 3.26 (> 3 mg/L),1,High,Full DO/BOD/pH compliance,1,Non-Compliant,1.0,7,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids|river_name,7,"High confidence: DO, BOD, and pH are available.",Success,False,,"pH is 7.75, within the safe range 6.5–8.5. DO is 8.2 mg/L, meeting the >=5 mg/L requirement. BOD is 3.26 mg/L, violating the <=3 mg/L requirement.","The ML model predicts this station is Non-Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.","bod, dissolved_oxygen, ph, temperature, conductivity",No major missing core parameters for this station.,"Station HR56_D/s of Mohana, Sonipat is classified Non-Compliant by rule and ML. BOD is 3.26 (> 3 mg/L). The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
11790,UT57,"UT57_Bridge on Hindon river, Rajnagar Ext.Gzb",Uttar Pradesh,28.685751,77.392687,DSP_SWAN,2026-05-12 08:30:00+00:00,5.23,70.0,21.54,652.6,1.42,1.48,0.79,7.78,206.12,10.92,27.08,60.9,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,,Full,Non-Compliant,Non-Compliant,DO is 1.48 (< 5 mg/L) | BOD is 5.23 (> 3 mg/L),2,High,Full DO/BOD/pH compliance,1,Non-Compliant,1.0,7,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids|river_name,7,"High confidence: DO, BOD, and pH are available.",Success,False,,"pH is 7.78, within the safe range 6.5–8.5. DO is 1.48 mg/L, violating the >=5 mg/L requirement. BOD is 5.23 mg/L, violating the <=3 mg/L requirement.","The ML model predicts this station is Non-Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.","bod, dissolved_oxygen, ph, temperature, conductivity",No major missing core parameters for this station.,"Station UT57_Bridge on Hindon river, Rajnagar Ext.Gzb is classified Non-Compliant by rule and ML. DO is 1.48 (< 5 mg/L)  and  BOD is 5.23 (> 3 mg/L). The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
11791,UT58,"UT58_River Kali East, D/s Meerut city, Kaul vill.",Uttar Pradesh,28.860677,77.795725,DSP_SWAN,2026-05-12 08:30:00+00:00,4.2,42.1,17.55,382.9,1.19,9.13,2.13,8.53,113.74,8.41,32.3,2000.0,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,,Full,Non-Compliant,Non-Compliant,BOD is 4.2 (> 3 mg/L) | pH is 8.53 (out of 6.5-8.5),2,High,Full DO/BOD/pH compliance,1,Non-Compliant,1.0,7,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids|river_name,7,"High confidence: DO, BOD, and pH are available.",Success,False,,"pH is 8.53, outside the safe range 6.5-8.5. DO is 9.13 mg/L, meeting the >=5 mg/L requirement. BOD is 4.2 mg/L, violating the <=3 mg/L requirement.","The ML model predicts this station is Non-Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.","bod, dissolved_oxygen, ph, temperature, conductivity",No major missing core parameters for this station.,"Station UT58_River Kali East, D/s Meerut city, Kaul vill. is classified Non-Compliant by rule and ML. BOD is 4.2 (> 3 mg/L)  and  pH is 8.53 (out of 6.5-8.5). The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
11792,UT59,"UT59_River Kali East, D/s of Bulandshahr",Uttar Pradesh,28.397028,77.863309,DSP_SWAN,2026-05-12 08:30:00+00:00,2.79,,12.55,422.04,,7.76,2.0,8.42,,5.58,31.89,56.81,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,,Full,Compliant,Compliant,,0,High,Full DO/BOD/pH compliance,0,Compliant,0.0,7,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids|river_name,7,"High confidence: DO, BOD, and pH are available.",Success,False,,"pH is 8.42, within the safe range 6.5–8.5. DO is 7.76 mg/L, meeting the >=5 mg/L requirement. BOD is 2.79 mg/L, meeting the <=3 mg/L requirement.","The ML model predicts this station is Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.","bod, dissolved_oxygen, ph, temperature, conductivity",No major missing core parameters for this station.,"Station UT59_River Kali East, D/s of Bulandshahr is classified Compliant by rule and ML. nan. The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
11793,UT60,"UT60_Upstream of Gokul Barrage,D/s of Mathura city",Uttar Pradesh,27.44357,77.71386,DSP_SWAN,2026-05-12 08:30:00+00:00,5.1,129.73,30.32,1502.75,1.75,2.28,1.8,7.8,163.8,10.81,31.55,47.45,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,,Full,Non-Compliant,Non-Compliant,DO is 2.28 (< 5 mg/L) | BOD is 5.1 (> 3 mg/L),2,High,Full DO/BOD/pH compliance,1,Non-Compliant,1.0,7,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids|river_name,7,"High confidence: DO, BOD, and pH are available.",Success,False,,"pH is 7.8, within the safe range 6.5–8.5. DO is 2.28 mg/L, violating the >=5 mg/L requirement. BOD is 5.1 mg/L, violating the <=3 mg/L requirement.","The ML model predicts this station is Non-Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.","bod, dissolved_oxygen, ph, temperature, conductivity",No major missing core parameters for this station.,"Station UT60_Upstream of Gokul Barrage,D/s of Mathura city is classified Non-Compliant by rule and ML. DO is 2.28 (< 5 mg/L)  and  BOD is 5.1 (> 3 mg/L). The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
11794,UT61,"UT61_Near Galhita on River Hindon,Barnawa,Baghpat",Uttar Pradesh,29.114116,77.44042,DSP_SWAN,2026-05-12 08:30:00+00:00,1.54,,6.38,250.8,,7.67,0.48,7.37,,2.05,28.94,44.3,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,,Full,Compliant,Compliant,,0,High,Full DO/BOD/pH compliance,0,Compliant,0.0,7,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids|river_name,7,"High confidence: DO, BOD, and pH are available.",Success,False,,"pH is 7.37, within the safe range 6.5–8.5. DO is 7.67 mg/L, meeting the >=5 mg/L requirement. BOD is 1.54 mg/L, meeting the <=3 mg/L requirement.","The ML model predicts this station is Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.","bod, dissolved_oxygen, ph, temperature, conductivity",No major missing core parameters for this station.,"Station UT61_Near Galhita on River Hindon,Barnawa,Baghpat is classified Compliant by rule and ML. nan. The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
